,map_weighted,map_macro,map_micro,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
mosaiks_512_3_120,0.7108453567149767,0.58838048399514,0.7229918916952702,0.6960734237894431,0.6016661620329952,0.70185608073776,0.7468467712615712,0.7125017476974886,0.7422894427459912,0.6619779602336733,0.5433993100166393,0.6619779602336733,0.2897843738579124,MSI,120,mosaiks_512_3
mosaiks_512_3_224,0.7109241827692976,0.5887514362574932,0.7232367965299029,0.6958385590732913,0.601507712140239,0.7016979200588803,0.7468076640929041,0.7113513907729871,0.7420061820536361,0.6617273205516276,0.5436469728928338,0.6617273205516276,0.2897049242845566,MSI,224,mosaiks_512_3
mosaiks_zca_512_3_120,0.7531535937321161,0.6495741550404278,0.7633402920554851,0.7301133112760454,0.6506426701171698,0.7342459153658285,0.7759480548160326,0.7480394673485211,0.7732380476081805,0.6967975960624782,0.5938695813183618,0.6967975960624782,0.31356363116330066,MSI,120,mosaiks_zca_512_3
mosaiks_zca_512_3_224,0.7536758887651441,0.6503661079718102,0.7641962029093072,0.7311327564109183,0.6513000778719105,0.7352087153802106,0.7760785201870578,0.7460094184097945,0.7732791813661272,0.6984281311368851,0.5950762056243948,0.6984281311368851,0.31425484245149604,MSI,224,mosaiks_zca_512_3
resnet50_randominit_120,0.6016307805588913,0.45649569763539893,0.6128932654790522,0.5933393751912479,0.46671347347750536,0.6061952325510142,0.6829738098443503,0.6407048741441337,0.6748816323106089,0.5449347372827904,0.40245673041743457,0.5449347372827904,0.23675178364292185,MSI,120,resnet50_randominit
resnet50_randominit_224,0.6478604756772248,0.514398605785555,0.6600698268959428,0.6378561245786912,0.5285007806446743,0.6472487434164642,0.7124030110017371,0.6796432804319869,0.706980555196711,0.5930134877200327,0.46161704198973624,0.5930134877200327,0.2569955349339774,MSI,224,resnet50_randominit
mosaiks_512_3_rgb_120,0.5335088393498226,0.39139303164289013,0.5421215788318516,0.5314503266358261,0.40560461100822054,0.5474423943780272,0.6288598638483393,0.5487299095280277,0.607208109015187,0.48469032227856257,0.35033509926682177,0.48469032227856257,0.20133316384091018,RGB,120,mosaiks_512_3
mosaiks_512_3_rgb_224,0.5310862198125171,0.3874021322110907,0.5398749545492121,0.5306474785432795,0.4013431628693209,0.5468201480774268,0.6252569719138559,0.543904681493478,0.6030505429760915,0.48586915506884326,0.3477648995083716,0.48586915506884326,0.20035593408863395,RGB,224,mosaiks_512_3
mosaiks_zca_512_3_rgb_120,0.5698700958012252,0.43716639541232394,0.5748034208240479,0.5661858038460579,0.45137066337186893,0.5765053384390654,0.6516901535619283,0.5911779328325067,0.6407217514797652,0.5168741100225576,0.3932527196086969,0.5168741100225576,0.2104063051181415,RGB,120,mosaiks_zca_512_3
mosaiks_zca_512_3_rgb_224,0.5270502991395397,0.3951758785363191,0.531429287167422,0.5229127072963502,0.4103096041532988,0.5358959793364697,0.6227574611487781,0.5554122669832978,0.6062779535643535,0.4702991976775892,0.35192960656718,0.4702991976775892,0.1914655268301209,RGB,224,mosaiks_zca_512_3
resnet50_randominit_rgb_120,0.5186664660201333,0.36687587661322324,0.5259262011056816,0.5045291327544517,0.36596247840138263,0.5222963215837497,0.6246118696955525,0.5275052890581887,0.603519236190241,0.4487827449727464,0.3127245409436198,0.4487827449727464,0.20138083358492365,RGB,120,resnet50_randominit
resnet50_randominit_rgb_224,0.5540216558501765,0.40705777025551665,0.5631002602018524,0.5439654202948823,0.4157915010644398,0.5588251023175194,0.6514274189112378,0.5837980765290651,0.6365884804922628,0.48927344789311183,0.35589635575049766,0.48927344789311183,0.21659542688255765,RGB,224,resnet50_randominit
