model,preprocess_method,rgb,size,acc,acc_scaled
resnet50_pretrained_seco,divide,True,32,0.49166666666666664,0.5246296296296297
resnet50_pretrained_seco,divide,True,48,0.4853703703703704,0.48333333333333334
resnet50_pretrained_seco,divide,True,64,0.48018518518518516,0.49018518518518517
resnet50_pretrained_seco,divide,True,80,0.4822222222222222,0.48185185185185186
resnet50_pretrained_seco,divide,True,96,0.48388888888888887,0.49314814814814817
resnet50_pretrained_seco,divide,True,112,0.5031481481481481,0.4955555555555556
resnet50_pretrained_seco,divide,True,128,0.5033333333333333,0.4911111111111111
resnet50_pretrained_seco,divide,True,144,0.5185185185185185,0.4962962962962963
resnet50_pretrained_seco,divide,True,160,0.5183333333333333,0.5018518518518519
resnet50_pretrained_seco,divide,True,176,0.52,0.49462962962962964
resnet50_pretrained_seco,divide,True,192,0.527962962962963,0.4955555555555556
resnet50_pretrained_seco,divide,True,208,0.5368518518518518,0.5062962962962962
resnet50_pretrained_seco,divide,True,224,0.5338888888888889,0.5031481481481481
resnet50_pretrained_seco,divide,True,240,0.547037037037037,0.5120370370370371
resnet50_pretrained_seco,divide,True,256,0.5457407407407407,0.5164814814814814
resnet50_pretrained_moco,divide,True,32,0.832037037037037,0.7792592592592592
resnet50_pretrained_moco,divide,True,48,0.9059259259259259,0.8911111111111111
resnet50_pretrained_moco,divide,True,64,0.9411111111111111,0.9207407407407407
resnet50_pretrained_moco,divide,True,80,0.9544444444444444,0.9498148148148148
resnet50_pretrained_moco,divide,True,96,0.9594444444444444,0.9507407407407408
resnet50_pretrained_moco,divide,True,112,0.9638888888888889,0.9581481481481482
resnet50_pretrained_moco,divide,True,128,0.9633333333333334,0.9557407407407408
resnet50_pretrained_moco,divide,True,144,0.965,0.9601851851851851
resnet50_pretrained_moco,divide,True,160,0.9677777777777777,0.9588888888888889
resnet50_pretrained_moco,divide,True,176,0.9661111111111111,0.9585185185185185
resnet50_pretrained_moco,divide,True,192,0.962037037037037,0.9564814814814815
resnet50_pretrained_moco,divide,True,208,0.9627777777777777,0.9533333333333334
resnet50_pretrained_moco,divide,True,224,0.9575925925925926,0.9522222222222222
resnet50_pretrained_moco,divide,True,240,0.9553703703703704,0.9474074074074074
resnet50_pretrained_moco,divide,True,256,0.9542592592592593,0.9477777777777778
resnet50_pretrained_imagenet,divide,True,32,0.5544444444444444,0.5548148148148148
resnet50_pretrained_imagenet,divide,True,48,0.6355555555555555,0.6107407407407407
resnet50_pretrained_imagenet,divide,True,64,0.6562962962962963,0.6222222222222222
