,model_name,rgb,size,normalization,accuracy,accuracy_scaler,seed
0,resnet50_pretrained_seco,True,64,divide,0.48018518518518516,0.49018518518518517,0
1,resnet50_pretrained_seco,True,64,standardization,0.5174074074074074,0.5344444444444445,0
2,resnet50_pretrained_seco,True,64,for_seco,0.8231481481481482,0.8133333333333334,0
3,resnet50_pretrained_seco,True,224,divide,0.5338888888888889,0.5031481481481481,0
4,resnet50_pretrained_seco,True,224,standardization,0.5603703703703704,0.5938888888888889,0
5,resnet50_pretrained_seco,True,224,for_seco,0.8672222222222222,0.8757407407407407,0
6,resnet50_pretrained_moco,True,64,divide,0.9411111111111111,0.9207407407407407,0
7,resnet50_pretrained_moco,True,64,standardization,0.6583333333333333,0.6611111111111111,0
8,resnet50_pretrained_moco,True,224,divide,0.9575925925925926,0.9522222222222222,0
9,resnet50_pretrained_moco,True,224,standardization,0.8175925925925925,0.8057407407407408,0
10,resnet50_pretrained_moco,False,64,divide,0.8185185185185185,0.7777777777777778,0
11,resnet50_pretrained_moco,False,64,standardization,0.7405555555555555,0.7001851851851851,0
12,resnet50_pretrained_moco,False,224,divide,0.9364814814814815,0.9118518518518518,0
13,resnet50_pretrained_moco,False,224,standardization,0.8548148148148148,0.8240740740740741,0
14,resnet50_pretrained_imagenet,True,64,divide,0.6562962962962963,0.6222222222222222,0
15,resnet50_pretrained_imagenet,True,64,standardization,0.820925925925926,0.7277777777777777,0
16,resnet50_pretrained_imagenet,True,224,divide,0.6874074074074074,0.6309259259259259,0
17,resnet50_pretrained_imagenet,True,224,standardization,0.9116666666666666,0.830925925925926,0
18,resnet50_pretrained_imagenet,False,64,divide,0.6353703703703704,0.605925925925926,0
19,resnet50_pretrained_imagenet,False,64,standardization,0.7864814814814814,0.7064814814814815,0
20,resnet50_pretrained_imagenet,False,224,divide,0.6264814814814815,0.5655555555555556,0
21,resnet50_pretrained_imagenet,False,224,standardization,0.8981481481481481,0.8035185185185185,0
22,resnet50_randominit,True,64,divide,0.5403703703703704,0.5437037037037037,0
23,resnet50_randominit,True,64,divide,0.557962962962963,0.5583333333333333,1
24,resnet50_randominit,True,64,divide,0.545,0.5464814814814815,2
25,resnet50_randominit,True,64,standardization,0.5968518518518519,0.5603703703703704,0
26,resnet50_randominit,True,64,standardization,0.6031481481481481,0.5646296296296296,1
27,resnet50_randominit,True,64,standardization,0.5975925925925926,0.5637037037037037,2
28,resnet50_randominit,True,224,divide,0.7096296296296296,0.7437037037037038,0
29,resnet50_randominit,True,224,divide,0.7151851851851851,0.7348148148148148,1
30,resnet50_randominit,True,224,divide,0.7168518518518519,0.7342592592592593,2
31,resnet50_randominit,True,224,standardization,0.722037037037037,0.725,0
32,resnet50_randominit,True,224,standardization,0.7233333333333334,0.7266666666666667,1
33,resnet50_randominit,True,224,standardization,0.7287037037037037,0.7338888888888889,2
34,resnet50_randominit,False,64,divide,0.677962962962963,0.682962962962963,0
35,resnet50_randominit,False,64,divide,0.6614814814814814,0.6746296296296296,1
36,resnet50_randominit,False,64,divide,0.6951851851851852,0.7018518518518518,2
37,resnet50_randominit,False,64,standardization,0.7511111111111111,0.7212962962962963,0
38,resnet50_randominit,False,64,standardization,0.7487037037037036,0.737037037037037,1
39,resnet50_randominit,False,64,standardization,0.7533333333333333,0.7279629629629629,2
