,model_name,rgb,size,normalization,accuracy,accuracy_scaler,seed
0,resnet50_pretrained_imagenet,True,256,divide,0.7495238095238095,0.6582539682539682,0
1,resnet50_pretrained_imagenet,True,256,standardization,0.7747619047619048,0.6955555555555556,0
2,resnet50_pretrained_seco,True,256,divide,0.49682539682539684,0.5763492063492064,0
3,resnet50_pretrained_seco,True,256,standardization,0.15936507936507938,0.2003174603174603,0
4,resnet50_pretrained_moco,True,256,divide,0.7133333333333334,0.7323809523809524,0
5,resnet50_pretrained_moco,True,256,standardization,0.3646031746031746,0.39301587301587304,0
6,resnet50_randominit,True,256,divide,0.276031746031746,0.3084126984126984,0
7,resnet50_randominit,True,256,divide,0.2725396825396825,0.29984126984126985,1
8,resnet50_randominit,True,256,divide,0.28015873015873016,0.31952380952380954,2
9,resnet50_randominit,True,256,standardization,0.33380952380952383,0.3626984126984127,0
10,resnet50_randominit,True,256,standardization,0.32746031746031745,0.3655555555555556,1
11,resnet50_randominit,True,256,standardization,0.3242857142857143,0.36063492063492064,2
12,imagestats,True,256,divide,0.34015873015873016,0.3403174603174603,0
13,imagestats,True,256,standardization,0.3387301587301587,0.3403174603174603,0
14,mosaiks_512_3,True,256,divide,0.30126984126984124,0.423968253968254,0
15,mosaiks_512_3,True,256,divide,0.30238095238095236,0.42317460317460315,1
16,mosaiks_512_3,True,256,divide,0.30063492063492064,0.42158730158730157,2
17,mosaiks_512_3,True,256,standardization,0.3431746031746032,0.4142857142857143,0
18,mosaiks_512_3,True,256,standardization,0.3519047619047619,0.41174603174603175,1
19,mosaiks_512_3,True,256,standardization,0.3411111111111111,0.41063492063492063,2
20,mosaiks_zca_512_3,True,256,divide,0.30984126984126986,0.3655555555555556,0
21,mosaiks_zca_512_3,True,256,divide,0.31412698412698414,0.36,1
22,mosaiks_zca_512_3,True,256,divide,0.32,0.35888888888888887,2
23,mosaiks_zca_512_3,True,256,standardization,0.34,0.3558730158730159,0
24,mosaiks_zca_512_3,True,256,standardization,0.34746031746031747,0.3585714285714286,1
25,mosaiks_zca_512_3,True,256,standardization,0.35349206349206347,0.35793650793650794,2
