,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
imagestats_rgb_34,0.9959569874404208,0.9886993034141193,0.9959629629629629,0.9959629629629629,0.9896412273523838,0.9959607538184557,0.9959629629629629,0.9878086945436201,0.9959629629629629,0.9959629629629629,RGB,34,imagestats
mosaiks_512_3_rgb_34,0.9937587134288417,0.990922439528673,0.9937530864197531,0.9937530864197531,0.9908875988955924,0.9937818066308668,0.9937530864197531,0.9909746192180431,0.9937530864197531,0.9937530864197531,RGB,34,mosaiks_512_3
mosaiks_512_3_rgb_224,0.9929936161668972,0.9890583003699552,0.9929876543209877,0.9929876543209877,0.9888055524260319,0.9930146624584029,0.9929876543209877,0.9893260411494312,0.9929876543209877,0.9929876543209877,RGB,224,mosaiks_512_3
mosaiks_zca_512_3_rgb_34,0.9965573398740583,0.9946875427190957,0.9965555555555555,0.9965555555555555,0.9946163771710242,0.9965672198952805,0.9965555555555555,0.9947669852588149,0.9965555555555555,0.9965555555555555,RGB,34,mosaiks_zca_512_3
mosaiks_zca_512_3_rgb_224,0.9887970248036512,0.9826937362474539,0.9887901234567901,0.9887901234567901,0.9837063786100404,0.9888291541808619,0.9887901234567901,0.9817413340636381,0.9887901234567901,0.9887901234567901,RGB,224,mosaiks_zca_512_3
resnet50_pretrained_imagenet_rgb_34,0.9654369121958352,0.9554410718006263,0.9655308641975309,0.9655308641975309,0.9594075646523975,0.9654550638201016,0.9655308641975309,0.9517749632538433,0.9655308641975309,0.9655308641975309,RGB,34,resnet50_pretrained_imagenet
resnet50_pretrained_imagenet_rgb_224,0.9988893251931539,0.9989190051417552,0.9988888888888889,0.9988888888888889,0.998842797796533,0.9988915532103619,0.9988888888888889,0.9989969135978285,0.9988888888888889,0.9988888888888889,RGB,224,resnet50_pretrained_imagenet
resnet50_pretrained_moco_rgb_34,0.981513461645321,0.9726194696877135,0.9815432098765432,0.9815432098765432,0.9756308372537782,0.9815371476999837,0.9815432098765432,0.9698803880489363,0.9815432098765432,0.9815432098765432,RGB,34,resnet50_pretrained_moco
resnet50_pretrained_moco_rgb_224,0.9986421211942155,0.9975908359843886,0.998641975308642,0.998641975308642,0.9975659074280512,0.9986431023268553,0.998641975308642,0.9976169474475524,0.998641975308642,0.998641975308642,RGB,224,resnet50_pretrained_moco
resnet50_randominit_rgb_34,0.9233266956851438,0.899269578779539,0.9230123456790124,0.9230123456790124,0.9096113939284631,0.9343063879869612,0.9230123456790124,0.8996073502967029,0.9230123456790124,0.9230123456790124,RGB,34,resnet50_randominit
resnet50_randominit_rgb_224,0.986100051205285,0.9761314995761244,0.9860740740740741,0.9860740740740741,0.9758646191909591,0.9861631157278952,0.9860740740740741,0.9764776308325085,0.9860740740740741,0.9860740740740741,RGB,224,resnet50_randominit
