,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
mosaiks_512_3_34,0.45371797632477284,0.33266633418803854,0.45438549278572465,0.45438549278572465,0.3582820685506095,0.4691641101994235,0.45438549278572465,0.3309245443692235,0.45438549278572465,0.45438549278572465,MSI,34,mosaiks_512_3
mosaiks_512_3_224,0.45435931160683773,0.32731546897177316,0.4567661001511168,0.4567661001511168,0.34543844956492004,0.4677349201811075,0.4567661001511168,0.32753123540982093,0.4567661001511168,0.4567661001511168,MSI,224,mosaiks_512_3
mosaiks_zca_512_3_34,0.47253862282206943,0.3666700510377568,0.4774256318959985,0.4774256318959985,0.38797161134854874,0.4799507574539585,0.4774256318959985,0.3633955220557323,0.4774256318959985,0.4774256318959985,MSI,34,mosaiks_zca_512_3
mosaiks_zca_512_3_224,0.4416239884146382,0.32386155060522615,0.44954147432049185,0.44954147432049185,0.33782911343659155,0.4474713515853034,0.44954147432049185,0.3240753868444149,0.44954147432049185,0.44954147432049185,MSI,224,mosaiks_zca_512_3
resnet50_randominit_34,0.3374271903983358,0.22387811965710605,0.3534270395594841,0.3534270395594841,0.27045899872297874,0.39348175838465527,0.3534270395594841,0.2306950797742827,0.3534270395594841,0.3534270395594841,MSI,34,resnet50_randominit
resnet50_randominit_224,0.4531390687798114,0.31842345966918506,0.4564762870805473,0.4564762870805473,0.33602329568824457,0.46594243345165354,0.4564762870805473,0.31726555018937125,0.4564762870805473,0.4564762870805473,MSI,224,resnet50_randominit
mosaiks_512_3_rgb_34,0.3165389064791477,0.2046853260774401,0.3102241911110191,0.3102241911110191,0.2255972963979685,0.34437439549213117,0.3102241911110191,0.20168754488436158,0.3102241911110191,0.3102241911110191,RGB,34,mosaiks_512_3
mosaiks_512_3_rgb_224,0.3198254535524218,0.21119549035564647,0.3136191442234045,0.3136191442234045,0.23477272834550095,0.35057452358549024,0.3136191442234045,0.20825167704255534,0.3136191442234045,0.3136191442234045,RGB,224,mosaiks_512_3
mosaiks_zca_512_3_rgb_34,0.3488145435709863,0.2361592876495956,0.35684269360548154,0.3568426936054816,0.24631090431593397,0.3579192832922711,0.3568426936054816,0.24173168874253334,0.3568426936054816,0.3568426936054816,RGB,34,mosaiks_zca_512_3
mosaiks_zca_512_3_rgb_224,0.2721145238915345,0.1769060531574145,0.27637816465522597,0.27637816465522597,0.18749639554801703,0.2845749998930709,0.27637816465522597,0.18129137943780874,0.27637816465522597,0.27637816465522597,RGB,224,mosaiks_zca_512_3
resnet50_randominit_rgb_34,0.25640013866697503,0.15928893400437802,0.2940774628935765,0.2940774628935765,0.20237572766789652,0.30946809277101417,0.2940774628935765,0.1792099949521438,0.2940774628935765,0.2940774628935765,RGB,34,resnet50_randominit
resnet50_randominit_rgb_224,0.3414996517422442,0.22849452463792325,0.34369760076179434,0.34369760076179434,0.252878086691067,0.36855015821855086,0.34369760076179434,0.22822436480693878,0.34369760076179434,0.34369760076179434,RGB,224,resnet50_randominit
