,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
imagestats_34,0.9109163328754105,0.8837473545317484,0.9109069517110172,0.9109069517110171,0.8894629094056179,0.9125015543536831,0.9109069517110171,0.8810081494440135,0.9109069517110171,0.9109069517110171,MSI,34,imagestats
mosaiks_512_3_34,0.8916969447143936,0.8619135146660103,0.8923448569354393,0.8923448569354394,0.8679015344733977,0.8936382112207715,0.8923448569354394,0.8595403237398349,0.8923448569354394,0.8923448569354394,MSI,34,mosaiks_512_3
mosaiks_512_3_224,0.8954541366599801,0.8654907432786145,0.8959871830174981,0.8959871830174981,0.8709655634975357,0.8970224481768087,0.8959871830174981,0.8630712288632293,0.8959871830174981,0.8959871830174981,MSI,224,mosaiks_512_3
mosaiks_zca_512_3_34,0.9533676621784231,0.9404346255511531,0.9535134052619721,0.9535134052619721,0.9417109012801258,0.9538945127489459,0.9535134052619721,0.9401795026495845,0.9535134052619721,0.9535134052619721,MSI,34,mosaiks_zca_512_3
mosaiks_zca_512_3_224,0.9519467686100997,0.9375189404242359,0.9520489648784639,0.9520489648784639,0.9385508173080278,0.9523361282917093,0.9520489648784639,0.9372420171028653,0.9520489648784639,0.9520489648784639,MSI,224,mosaiks_zca_512_3
resnet50_pretrained_imagenet_34,0.5532362672012572,0.427794172201981,0.5617943775502541,0.5617943775502541,0.4757573961838659,0.5593795680222324,0.5617943775502541,0.413200019599305,0.5617943775502541,0.5617943775502541,MSI,34,resnet50_pretrained_imagenet
resnet50_pretrained_imagenet_224,0.8841503677901061,0.8514711867866798,0.8845595413923447,0.8845595413923448,0.8701791121375217,0.8861844097074426,0.8845595413923448,0.8372403906159549,0.8845595413923448,0.8845595413923448,MSI,224,resnet50_pretrained_imagenet
resnet50_pretrained_moco_34,0.7222500722352005,0.6426371172183155,0.7250982551881242,0.7250982551881243,0.6715988883793781,0.7317264482947302,0.7250982551881243,0.6301381662904049,0.7250982551881243,0.7250982551881243,MSI,34,resnet50_pretrained_moco
resnet50_pretrained_moco_224,0.961378038834696,0.9487963719464401,0.9614739529877088,0.9614739529877088,0.9528876037116077,0.9615629922801273,0.9614739529877088,0.9451709898528985,0.9614739529877088,0.9614739529877088,MSI,224,resnet50_pretrained_moco
resnet50_randominit_34,0.5269163433903812,0.4340859352376529,0.5546474078153554,0.5546474078153554,0.46366769472105734,0.544578398856644,0.5546474078153554,0.4527748112042314,0.5546474078153554,0.5546474078153554,MSI,34,resnet50_randominit
resnet50_randominit_224,0.8425490972958413,0.79844426582049,0.8446942198412897,0.8446942198412897,0.8148183507107376,0.8461507848133837,0.8446942198412897,0.7897858570982504,0.8446942198412897,0.8446942198412897,MSI,224,resnet50_randominit
imagestats_rgb_34,0.8383897174698857,0.7947126980815332,0.8383858612661776,0.8383858612661776,0.8078822856127577,0.8419454935540529,0.8383858612661776,0.7876727025581642,0.8383858612661776,0.8383858612661776,RGB,34,imagestats
mosaiks_512_3_rgb_34,0.720393585688293,0.6506120418165087,0.7230830850877412,0.7230830850877412,0.6753243563603051,0.7259127631456288,0.7230830850877412,0.6376845878398822,0.7230830850877412,0.7230830850877412,RGB,34,mosaiks_512_3
mosaiks_512_3_rgb_224,0.7362156420377878,0.6704526768523089,0.7379277542744135,0.7379277542744136,0.6920991225228447,0.741633700925276,0.7379277542744136,0.6590811901663277,0.7379277542744136,0.7379277542744136,RGB,224,mosaiks_512_3
mosaiks_zca_512_3_rgb_34,0.7022997949989912,0.6419057316442388,0.7096778231156283,0.7096778231156282,0.6664525120950202,0.7069931596560445,0.7096778231156282,0.6329084989272838,0.7096778231156282,0.7096778231156282,RGB,34,mosaiks_zca_512_3
mosaiks_zca_512_3_rgb_224,0.5044988883260807,0.41386848531871107,0.5152201667209052,0.5152201667209052,0.432790904825169,0.5092364967195426,0.5152201667209052,0.4123945594408805,0.5152201667209052,0.5152201667209052,RGB,224,mosaiks_zca_512_3
resnet50_pretrained_imagenet_rgb_34,0.6554390909548917,0.5644528309662868,0.6621273186972739,0.6621273186972739,0.6180758065093217,0.6635019714572506,0.6621273186972739,0.5393787945440912,0.6621273186972739,0.6621273186972739,RGB,34,resnet50_pretrained_imagenet
resnet50_pretrained_imagenet_rgb_224,0.929675447394152,0.9116542559405544,0.929857060605302,0.929857060605302,0.9219354612471772,0.9305296638413746,0.929857060605302,0.9031719968901616,0.929857060605302,0.929857060605302,RGB,224,resnet50_pretrained_imagenet
resnet50_pretrained_moco_rgb_34,0.7486774853419393,0.677096196074345,0.7507197036072798,0.7507197036072797,0.7172813675748916,0.7592578382954653,0.7507197036072797,0.6555977453038043,0.7507197036072797,0.7507197036072797,RGB,34,resnet50_pretrained_moco
resnet50_pretrained_moco_rgb_224,0.9391701825608141,0.9204894468711794,0.9393070818834957,0.9393070818834957,0.9259948521373298,0.9396048844604595,0.9393070818834957,0.9159569693306843,0.9393070818834957,0.9393070818834957,RGB,224,resnet50_pretrained_moco
resnet50_randominit_rgb_34,0.4237886413078247,0.31973296302939197,0.46376448794652914,0.46376448794652914,0.33665084258188566,0.4276031272960023,0.46376448794652914,0.33740602203415465,0.46376448794652914,0.46376448794652914,RGB,34,resnet50_randominit
resnet50_randominit_rgb_224,0.730079513837867,0.6508195697383365,0.7345482764663177,0.7345482764663178,0.6700655116004269,0.7325670004415107,0.7345482764663178,0.6414874766039211,0.7345482764663178,0.7345482764663178,RGB,224,resnet50_randominit
