,map_weighted,map_macro,map_micro,f1_weighted,f1_macro,f1_micro,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,accuracy,rgb,size,encoder
mosaiks_512_3_34,0.509257825217005,0.37260499233716515,0.5145191696452431,0.49325655988739914,0.37244454683699774,0.5184477155419615,0.6523412443874278,0.6117553712007998,0.6217428633325605,0.4301575552500793,0.29349210290605604,0.4301575552500793,0.2513877874702617,MSI,34,mosaiks_512_3
mosaiks_512_3_224,0.5096226555241102,0.3720392736989673,0.5154367792712748,0.4978656944105341,0.3744117197246887,0.5230808467227748,0.6587441785771639,0.6054594562733936,0.6267096525041618,0.43375277572168763,0.2956807949066794,0.43375277572168763,0.24940523394131642,MSI,224,mosaiks_512_3
mosaiks_zca_512_3_34,0.5503487688344245,0.42754403020070647,0.558235200842167,0.5370110323487944,0.42288489018746306,0.5601098009857134,0.6830493000608643,0.6388001857137733,0.6567809276703682,0.4746748440308766,0.3391085964264153,0.4746748440308766,0.27240285487708166,MSI,34,mosaiks_zca_512_3
mosaiks_zca_512_3_224,0.5500035520959448,0.42227583582917716,0.5566973002569222,0.5324188439039962,0.4194330218601436,0.5547353934692857,0.679123908714964,0.6224335591094571,0.6503631981924697,0.46885904620915725,0.33693254147148516,0.46885904620915725,0.2654639175257732,MSI,224,mosaiks_zca_512_3
resnet50_randominit_34,0.3621694036288931,0.2195854135644818,0.3458574049125145,0.3171904826275836,0.18085125332408508,0.3607990012484395,0.5242894577706108,0.37300868293351896,0.4842808350597869,0.27503436607803744,0.14786320254056015,0.27503436607803744,0.16237113402061856,MSI,34,resnet50_randominit
resnet50_randominit_224,0.47492570958834457,0.3377733049524257,0.4746157339526581,0.45263028859010357,0.3271924139780135,0.4813212740857255,0.6329943113256336,0.5738829670857954,0.6024737152239626,0.3882838109336999,0.2550787827247785,0.3882838109336999,0.2315622521808089,MSI,224,resnet50_randominit
mosaiks_512_3_rgb_34,0.3321064864672187,0.21511566074404567,0.3204224035883192,0.30380464013467723,0.19191178810006576,0.32908216600459966,0.48262469337694197,0.3706961580276645,0.4311917619960137,0.24965633921962568,0.1466723353003982,0.24965633921962568,0.13620142743854083,RGB,34,mosaiks_512_3
mosaiks_512_3_rgb_224,0.3230770786538176,0.20465606158242758,0.31102873507606255,0.29630027336976406,0.18040200977632315,0.3220753793441018,0.4754335260115607,0.3392479026627978,0.41699335170473323,0.24352331606217617,0.13885683601964663,0.24352331606217617,0.13065027755749406,RGB,224,mosaiks_512_3
mosaiks_zca_512_3_rgb_34,0.3216409190065761,0.21051578972101753,0.3094714451986678,0.29411432801209025,0.18369331593732138,0.31683723538483105,0.46995217300894154,0.3729064573574832,0.42701183654276553,0.2389764195833774,0.1389068932981063,0.2389764195833774,0.12371134020618557,RGB,34,mosaiks_zca_512_3
mosaiks_zca_512_3_rgb_224,0.2986082481908672,0.18603122550618478,0.2834405027389825,0.262841885463022,0.15424082364799133,0.284796573875803,0.43817263342850865,0.3155193315199859,0.38967895045920703,0.21095484826054775,0.11697030500174604,0.21095484826054775,0.11082474226804123,RGB,224,mosaiks_zca_512_3
resnet50_randominit_rgb_34,0.30834073878857127,0.18537867338260108,0.2927652202223884,0.2640563024582102,0.1457165721014997,0.29831932773109243,0.47365999539912584,0.35102561148180594,0.4130164144832747,0.21772232208945755,0.1137116056851615,0.21772232208945755,0.12073750991276765,RGB,34,resnet50_randominit
resnet50_randominit_rgb_224,0.3600769237254815,0.24193002070198893,0.35201479907874256,0.3318031680007162,0.21256505359564024,0.3572419533851276,0.519257914902198,0.4282189027174477,0.4833698637296004,0.2722850798350428,0.16176987385651642,0.2722850798350428,0.15800951625693893,RGB,224,resnet50_randominit
