,model_name,rgb,size,normalization,accuracy,accuracy_scaler,seed
0,resnet50_pretrained_seco,True,256,divide,0.7333333333333333,0.8071428571428572,0
1,resnet50_pretrained_seco,True,256,standardization,0.24047619047619048,0.3738095238095238,0
2,resnet50_pretrained_moco,True,256,divide,0.8547619047619047,0.8547619047619047,0
3,resnet50_pretrained_moco,True,256,standardization,0.5071428571428571,0.5571428571428572,0
4,resnet50_pretrained_imagenet,True,256,divide,0.9071428571428571,0.7714285714285715,0
5,resnet50_pretrained_imagenet,True,256,standardization,0.9071428571428571,0.7476190476190476,0
6,resnet50_randominit,True,256,divide,0.39285714285714285,0.43333333333333335,0
7,resnet50_randominit,True,256,divide,0.35714285714285715,0.44761904761904764,1
8,resnet50_randominit,True,256,divide,0.39285714285714285,0.44047619047619047,2
9,resnet50_randominit,True,256,standardization,0.44285714285714284,0.46904761904761905,0
10,resnet50_randominit,True,256,standardization,0.44285714285714284,0.49047619047619045,1
11,resnet50_randominit,True,256,standardization,0.3952380952380952,0.4785714285714286,2
12,imagestats,True,256,divide,0.4785714285714286,0.4738095238095238,0
13,imagestats,True,256,standardization,0.4714285714285714,0.4738095238095238,0
14,mosaiks_512_3,True,256,divide,0.37142857142857144,0.5190476190476191,0
15,mosaiks_512_3,True,256,divide,0.3738095238095238,0.5238095238095238,1
16,mosaiks_512_3,True,256,divide,0.36428571428571427,0.5214285714285715,2
17,mosaiks_512_3,True,256,standardization,0.4261904761904762,0.5166666666666667,0
18,mosaiks_512_3,True,256,standardization,0.430952380952381,0.5119047619047619,1
19,mosaiks_512_3,True,256,standardization,0.4142857142857143,0.5095238095238095,2
20,mosaiks_zca_512_3,True,256,divide,0.5380952380952381,0.5523809523809524,0
21,mosaiks_zca_512_3,True,256,divide,0.5238095238095238,0.5595238095238095,1
22,mosaiks_zca_512_3,True,256,divide,0.5357142857142857,0.5428571428571428,2
23,mosaiks_zca_512_3,True,256,standardization,0.5738095238095238,0.5619047619047619,0
24,mosaiks_zca_512_3,True,256,standardization,0.5714285714285714,0.5547619047619048,1
25,mosaiks_zca_512_3,True,256,standardization,0.5619047619047619,0.5595238095238095,2
